millis,stamp,datetime,motion
999, 2047401165, 2115/165/0 1:1:1, Active
1999, 2047401165, 2115/165/0 1:1:1, Active
2999, 2047401165, 2115/165/0 1:1:1, Active
3999, 2047401165, 2115/165/0 1:1:1, Active
4999, 2047401165, 2115/165/0 1:1:1, Active
5999, 2047401165, 2115/165/0 1:1:1, Active
6999, 2047401165, 2115/165/0 1:1:1, Active
7999, 2047401165, 2115/165/0 1:1:1, Active
8999, 2047401165, 2115/165/0 1:1:1, Active
9999, 2047401165, 2115/165/0 1:1:1, Active
10999, 2047401165, 2115/165/0 1:1:1, Active
11999, 2047401165, 2115/165/0 1:1:1, Active
12999, 2047401165, 2115/165/0 1:1:1, Active
14000, 2047401165, 2115/165/0 1:1:1, Active
14999, 2047401165, 2115/165/0 1:1:1, Active
16000, 2047401165, 2115/165/0 1:1:1, Active
16999, 2047401165, 2115/165/0 1:1:1, Active
17999, 2047401165, 2115/165/0 1:1:1, Active
18999, 2047401165, 2115/165/0 1:1:1, Active
19999, 2047401165, 2115/165/0 1:1:1, Active
20999, 2047401165, 2115/165/0 1:1:1, Active
21999, 2047401165, 2115/165/0 1:1:1, Active
22999, 2047401165, 2115/165/0 1:1:1, Active
23999, 2047401165, 2115/165/0 1:1:1, Active
24998, 2047401165, 2115/165/0 1:1:1, Active
25999, 2047401165, 2115/165/0 1:1:1, Active
26999, 2047401165, 2115/165/0 1:1:1, Inactive
27999, 2047401165, 2115/165/0 1:1:1, Inactive
28999, 2047401165, 2115/165/0 1:1:1, Inactive
29999, 2047401165, 2115/165/0 1:1:1, Inactive
30999, 2047401165, 2115/165/0 1:1:1, Inactive
32000, 2047401165, 2115/165/0 1:1:1, Inactive
32999, 2047401165, 2115/165/0 1:1:1, Inactive
33999, 2047401165, 2115/165/0 1:1:1, Inactive
34999, 2047401165, 2115/165/0 1:1:1, Inactive
35999, 2047401165, 2115/165/0 1:1:1, Inactive
36999, 2047401165, 2115/165/0 1:1:1, Inactive
37999, 2047401165, 2115/165/0 1:1:1, Active
38999, 2047401165, 2115/165/0 1:1:1, Active
39999, 2047401165, 2115/165/0 1:1:1, Active
40999, 2047401165, 2115/165/0 1:1:1, Active
41999, 2047401165, 2115/165/0 1:1:1, Active
42999, 2047401165, 2115/165/0 1:1:1, Active
43999, 2047401165, 2115/165/0 1:1:1, Active
44999, 2047401165, 2115/165/0 1:1:1, Active
45999, 2047401165, 2115/165/0 1:1:1, Inactive
46999, 2047401165, 2115/165/0 1:1:1, Inactive
48000, 2047401165, 2115/165/0 1:1:1, Inactive
48999, 2047401165, 2115/165/0 1:1:1, Inactive
49999, 2047401165, 2115/165/0 1:1:1, Inactive
50999, 2047401165, 2115/165/0 1:1:1, Inactive
51999, 2047401165, 2115/165/0 1:1:1, Inactive
53000, 2047401165, 2115/165/0 1:1:1, Inactive
53999, 2047401165, 2115/165/0 1:1:1, Inactive
54999, 2047401165, 2115/165/0 1:1:1, Inactive
55999, 2047401165, 2115/165/0 1:1:1, Active
56999, 2047401165, 2115/165/0 1:1:1, Active
57999, 2047401165, 2115/165/0 1:1:1, Active
58999, 2047401165, 2115/165/0 1:1:1, Inactive
59999, 2047401165, 2115/165/0 1:1:1, Inactive
60999, 2047401165, 2115/165/0 1:1:1, Inactive
61999, 2047401165, 2115/165/0 1:1:1, Inactive
62999, 2047401165, 2115/165/0 1:1:1, Inactive
64000, 2047401165, 2115/165/0 1:1:1, Inactive
64999, 2047401165, 2115/165/0 1:1:1, Inactive
65999, 2047401165, 2115/165/0 1:1:1, Active
66999, 2047401165, 2115/165/0 1:1:1, Active
67999, 2047401165, 2115/165/0 1:1:1, Active
68999, 2047401165, 2115/165/0 1:1:1, Inactive
69999, 2047401165, 2115/165/0 1:1:1, Inactive
70999, 2047401165, 2115/165/0 1:1:1, Inactive
71999, 2047401165, 2115/165/0 1:1:1, Inactive
72999, 2047401165, 2115/165/0 1:1:1, Inactive
73999, 2047401165, 2115/165/0 1:1:1, Inactive
74999, 2047401165, 2115/165/0 1:1:1, Inactive
75999, 2047401165, 2115/165/0 1:1:1, Inactive
76999, 2047401165, 2115/165/0 1:1:1, Active
78000, 2047401165, 2115/165/0 1:1:1, Active
78999, 2047401165, 2115/165/0 1:1:1, Active
80000, 2047401165, 2115/165/0 1:1:1, Inactive
80998, 2047401165, 2115/165/0 1:1:1, Inactive
81999, 2047401165, 2115/165/0 1:1:1, Inactive
82999, 2047401165, 2115/165/0 1:1:1, Inactive
83999, 2047401165, 2115/165/0 1:1:1, Inactive
85000, 2047401165, 2115/165/0 1:1:1, Inactive
85999, 2047401165, 2115/165/0 1:1:1, Inactive
86999, 2047401165, 2115/165/0 1:1:1, Inactive
87999, 2047401165, 2115/165/0 1:1:1, Inactive
88999, 2047401165, 2115/165/0 1:1:1, Inactive
89999, 2047401165, 2115/165/0 1:1:1, Active
90999, 2047401165, 2115/165/0 1:1:1, Active
91999, 2047401165, 2115/165/0 1:1:1, Active
92999, 2047401165, 2115/165/0 1:1:1, Inactive
94000, 2047401165, 2115/165/0 1:1:1, Inactive
94999, 2047401165, 2115/165/0 1:1:1, Inactive
96000, 2047401165, 2115/165/0 1:1:1, Inactive
96999, 2047401165, 2115/165/0 1:1:1, Inactive
97999, 2047401165, 2115/165/0 1:1:1, Inactive
98999, 2047401165, 2115/165/0 1:1:1, Inactive
99999, 2047401165, 2115/165/0 1:1:1, Inactive
